y_true,y_pred,error,percent_error
4271.0,4660.6973,-389.697265625,-9.124262833645517
17406.44966442953,17431.648,-25.19877307047136,-0.14476687409705163
171153.0,187601.55,-16448.546875,-9.610434450462451
12143.0,11817.937,325.0634765625,2.676961842728321
58803.0,60953.184,-2150.18359375,-3.6565882586772784
331310.0,350450.06,-19140.0625,-5.777085659955933
677320.2635983264,670731.6,6588.638598326361,0.97275084659709
1169943.0,1.1449904e+06,24952.625,2.132806897430046
5273529.0,5.4929145e+06,-219385.5,-4.160126928286542
239886.0,206920.6,32965.40625,13.742113441384657
2358.0,2326.1677,31.832275390625,1.3499692701706956
82824.0,80659.26,2164.7421875,2.613665347604559
265134.0,266243.22,-1109.21875,-0.4183615643410502
9838.0,10245.476,-407.4755859375,-4.1418538924324055
3681380.0,3.2107792e+06,470600.75,12.783270132396005
